variation,scheme,steps,step_size,error,standard_error,resolution,paths
baseline,euler_maruyama,16,0.0625,1.3165572054366497,0.0036050322411992656,365.19984215139169,100000
baseline,euler_maruyama,32,0.03125,0.93395146597122791,0.0025158878480444555,371.22142256745184,100000
baseline,euler_maruyama,64,0.015625,0.66464953489984513,0.0017869821437121298,371.93966220566529,100000
baseline,euler_maruyama,128,0.0078125,0.46955275054951556,0.0012642861094969478,371.39753970432207,100000
baseline,euler_maruyama,256,0.00390625,0.33315927598846279,0.00089710307326556615,371.37234941768935,100000
baseline,euler_maruyama,512,0.001953125,0.23561245342658924,0.00063400144918379176,371.62762597769256,100000
baseline,euler_maruyama,1024,0.0009765625,0.16616436133075735,0.00044431980709098881,373.97468822885457,100000
baseline,milstein,16,0.0625,0.090420089836924109,0.00030609042220712968,295.40319878332338,100000
baseline,milstein,32,0.03125,0.046953127147501307,0.00015038057491851482,312.22867164155554,100000
baseline,milstein,64,0.015625,0.023903813064307226,7.4221226630655479e-05,322.06168167037907,100000
baseline,milstein,128,0.0078125,0.012049802500908506,3.6348514534056006e-05,331.50742624210096,100000
baseline,milstein,256,0.00390625,0.0060864005668164632,1.8207742823868707e-05,334.27540281586914,100000
baseline,milstein,512,0.001953125,0.0030440033286240429,9.1275462816270669e-06,333.49634553498225,100000
baseline,milstein,1024,0.0009765625,0.0015212964718662133,4.5131462304712682e-06,337.08113900562836,100000
high_volatility,euler_maruyama,16,0.0625,5.3153014815783521,0.018337352453858664,289.86199043471362,100000
high_volatility,euler_maruyama,32,0.03125,3.7575022041181287,0.012925710592379173,290.69985570723685,100000
high_volatility,euler_maruyama,64,0.015625,2.6641565394230113,0.0092928206433442549,286.68976209404678,100000
high_volatility,euler_maruyama,128,0.0078125,1.8805706141612841,0.0066370156499574633,283.34581585224026,100000
high_volatility,euler_maruyama,256,0.00390625,1.3334610794306663,0.0047613204273515945,280.06119306118239,100000
high_volatility,euler_maruyama,512,0.001953125,0.94338965250613871,0.0033705076307707113,279.89542106166959,100000
high_volatility,euler_maruyama,1024,0.0009765625,0.66401376642397369,0.0023358156189044396,284.27490639668468,100000
high_volatility,milstein,16,0.0625,0.41361007179427595,0.0019354930544104435,213.69752314624694,100000
high_volatility,milstein,32,0.03125,0.22161820211290972,0.00093835050239617166,236.1784871932029,100000
high_volatility,milstein,64,0.015625,0.11544265565580374,0.00046447825097834959,248.54265062495853,100000
high_volatility,milstein,128,0.0078125,0.05914657234488372,0.00022561837474543422,262.15317086482406,100000
high_volatility,milstein,256,0.00390625,0.030067905653670148,0.00011400175499575931,263.74949802122455,100000
high_volatility,milstein,512,0.001953125,0.015158611818924644,5.6893255842856807e-05,266.43952071918335,100000
high_volatility,milstein,1024,0.0009765625,0.0075727979698731688,2.823887580870635e-05,268.16924374653729,100000
long_maturity,euler_maruyama,16,0.1875,4.3516566501545348,0.014368778456285744,302.85501745284864,100000
long_maturity,euler_maruyama,32,0.09375,3.0926734897164483,0.010019306172242027,308.67142260654151,100000
long_maturity,euler_maruyama,64,0.046875,2.2011530874570964,0.0071468563647255302,307.98899196033165,100000
long_maturity,euler_maruyama,128,0.0234375,1.5562727238193939,0.005079966766702115,306.35490255967107,100000
long_maturity,euler_maruyama,256,0.01171875,1.1044106403397713,0.0036278231257155791,304.42791780868015,100000
long_maturity,euler_maruyama,512,0.005859375,0.78136348717056592,0.0025634952312854706,304.80395580012424,100000
long_maturity,euler_maruyama,1024,0.0029296875,0.55045468029925992,0.0017825165883945647,308.80760598981612,100000
long_maturity,milstein,16,0.1875,0.52190580822120813,0.0022692256278723307,229.9929111546995,100000
long_maturity,milstein,32,0.09375,0.27165541557958617,0.0011429380958192248,237.68165272754467,100000
long_maturity,milstein,64,0.046875,0.13828789327136878,0.00057769887811114768,239.37711931087145,100000
long_maturity,milstein,128,0.0234375,0.069499751968957843,0.0002817168064672703,246.70076606534403,100000
long_maturity,milstein,256,0.01171875,0.035117302829414894,0.00014243598303139386,246.54797251390332,100000
long_maturity,milstein,512,0.005859375,0.01758735384976811,7.1609654180774098e-05,245.60031815500651,100000
long_maturity,milstein,1024,0.0029296875,0.0087705399424665344,3.5580254958603466e-05,246.50019941315171,100000
