test_function,scheme,source,steps,step_size,error,signed_error,resolution
identity,euler_maruyama,analytic,16,0.0625,0.0081956654290991082,-0.0081956654290991082,exact
identity,euler_maruyama,analytic,32,0.03125,0.0041021750563174919,-0.0041021750563174919,exact
identity,euler_maruyama,analytic,64,0.015625,0.0020521750479645107,-0.0020521750479645107,exact
identity,euler_maruyama,analytic,128,0.0078125,0.0010263596448822909,-0.0010263596448822909,exact
identity,euler_maruyama,analytic,256,0.00390625,0.00051324788273632294,-0.00051324788273632294,exact
identity,euler_maruyama,analytic,512,0.001953125,0.00025664096577315831,-0.00025664096577315831,exact
identity,euler_maruyama,analytic,1024,0.0009765625,0.0001283247405012844,-0.0001283247405012844,exact
square,euler_maruyama,analytic,16,0.0625,11.661905382077748,-11.661905382077748,exact
square,euler_maruyama,analytic,32,0.03125,5.8534776109117956,-5.8534776109117956,exact
square,euler_maruyama,analytic,64,0.015625,2.9324064646916668,-2.9324064646916668,exact
square,euler_maruyama,analytic,128,0.0078125,1.4676247369061457,-1.4676247369061457,exact
square,euler_maruyama,analytic,256,0.00390625,0.73416832071416138,-0.73416832071416138,exact
square,euler_maruyama,analytic,512,0.001953125,0.3671732212696952,-0.3671732212696952,exact
square,euler_maruyama,analytic,1024,0.0009765625,0.1836088871332322,-0.1836088871332322,exact
call_payoff,euler_maruyama,simulated,8,0.125,0.014031219812520772,0.014031219812520772,13.54993174156791
call_payoff,euler_maruyama,simulated,16,0.0625,0.0092605776090582438,0.0092605776090582438,12.537392409089767
call_payoff,euler_maruyama,simulated,32,0.03125,0.0052959894449668777,0.0052959894449668777,10.085071379134275
call_payoff,euler_maruyama,simulated,64,0.015625,0.0026030842979194824,0.0026030842979194824,6.9887918081218547
identity,milstein,analytic,16,0.0625,0.0081956654290991082,-0.0081956654290991082,exact
identity,milstein,analytic,32,0.03125,0.0041021750563174919,-0.0041021750563174919,exact
identity,milstein,analytic,64,0.015625,0.0020521750479645107,-0.0020521750479645107,exact
identity,milstein,analytic,128,0.0078125,0.0010263596448822909,-0.0010263596448822909,exact
identity,milstein,analytic,256,0.00390625,0.00051324788273632294,-0.00051324788273632294,exact
identity,milstein,analytic,512,0.001953125,0.00025664096577315831,-0.00025664096577315831,exact
identity,milstein,analytic,1024,0.0009765625,0.0001283247405012844,-0.0001283247405012844,exact
square,milstein,analytic,16,0.0625,8.6395061652547156,-8.6395061652547156,exact
square,milstein,analytic,32,0.03125,4.3327020104206895,-4.3327020104206895,exact
square,milstein,analytic,64,0.015625,2.1696050442569685,-2.1696050442569685,exact
square,milstein,analytic,128,0.0078125,1.085618146109482,-1.085618146109482,exact
square,milstein,analytic,256,0.00390625,0.54301324412517715,-0.54301324412517715,exact
square,milstein,analytic,512,0.001953125,0.27155769911405514,-0.27155769911405514,exact
square,milstein,analytic,1024,0.0009765625,0.13579162375754095,-0.13579162375754095,exact
call_payoff,milstein,simulated,8,0.125,0.082249558341054019,-0.082249558341054019,782.98505101231535
call_payoff,milstein,simulated,16,0.0625,0.041784115799047387,-0.041784115799047387,783.02948921478992
call_payoff,milstein,simulated,32,0.03125,0.021084114808029644,-0.021084114808029644,783.18056665658878
call_payoff,milstein,simulated,64,0.015625,0.010596024309278531,-0.010596024309278531,783.46041326530644
