scheme,steps,paths,rmse,bias,across_seed_standard_deviation,mean_standard_error,regime,work,runtime_seconds
euler_maruyama,1,1000,0.66002973078072291,-0.26857334751473161,0.62268888113338883,0.57656921538093187,sampling_dominated,1000,0.0010736249999999999
euler_maruyama,1,10000,0.34178098672319779,-0.31909839222724723,0.12645087146542977,0.18309438484653076,bias_dominated,10000,0.0069969580000000002
euler_maruyama,1,100000,0.3135558143074757,-0.31011117950036743,0.047869879575534305,0.05778425942187599,bias_dominated,100000,0.066045583000000005
euler_maruyama,1,250000,0.31546552702617803,-0.3140099076498532,0.031262785367653916,0.036520841468196341,bias_dominated,250000,0.25847054200000003
euler_maruyama,2,1000,0.62149976919596162,-0.050346248051243658,0.63977264163058967,0.64365954942388448,sampling_dominated,2000,0.0012223329999999999
euler_maruyama,2,10000,0.20481751738313486,-0.10790187693474573,0.17979959326894976,0.20240710730777542,mixed,20000,0.0083484579999999996
euler_maruyama,2,100000,0.075445447373236968,-0.030999654359332725,0.071038295467161214,0.06411045385119922,sampling_dominated,200000,0.078759707999999998
euler_maruyama,2,250000,0.057187893300081269,-0.032987257977562745,0.0482470967828268,0.040510770266811311,mixed,500000,0.193155833
euler_maruyama,4,1000,0.53878481367560171,0.026218718868724948,0.55579531410123506,0.68337938380851537,sampling_dominated,4000,0.0016336250000000001
euler_maruyama,4,10000,0.29159062671935865,0.0039795066508323505,0.30112545711917404,0.21281651097580434,sampling_dominated,40000,0.015425792000000001
euler_maruyama,4,100000,0.073121279961429822,0.0041340134605716283,0.075398542980833816,0.06752759443254816,sampling_dominated,400000,0.18113358299999999
euler_maruyama,4,250000,0.054414137068245001,0.016832182201232945,0.053442314872280856,0.042729403933559749,sampling_dominated,1000000,0.384546
euler_maruyama,8,1000,0.58935904334871325,0.22784660338134757,0.56136025965933234,0.70427807439251033,sampling_dominated,8000,0.002609625
euler_maruyama,8,10000,0.28051137719373653,0.03176172938444511,0.28784778437062586,0.21950441751750258,sampling_dominated,80000,0.024351332999999999
euler_maruyama,8,100000,0.088297713545115092,-0.0021071173310328621,0.091167516284247213,0.069390916867689806,sampling_dominated,800000,0.24949729200000001
euler_maruyama,8,250000,0.054990305250077864,0.010708701411553001,0.055706443774007228,0.043875808683537597,sampling_dominated,2000000,1.1016076669999999
euler_maruyama,16,1000,0.54122210936429249,0.12115947659682404,0.54478546519575177,0.70260661768130173,sampling_dominated,16000,0.030567250000000001
euler_maruyama,16,10000,0.23395609898955755,0.040695500112431726,0.2379452766779469,0.22180312525343809,sampling_dominated,160000,0.154648959
euler_maruyama,16,100000,0.085637126101172245,0.00031066296024318159,0.088445061549073486,0.070289352932880203,sampling_dominated,1600000,0.57803504100000003
