instrument,spot,volatility,estimator,estimate,across_seed_sd,rmse,work_units,variance_reduction_ratio,work_normalised_efficiency_gain,runtime_s_diagnostic
european,90,0.2,crude,5.07851,0.0341763,0.0351046,200000,1,1,0.00605033
european,90,0.2,antithetic,5.08308,0.0211488,0.0218258,400000,2.61144,1.30572,0.0101798
arithmetic_asian,90,0.2,crude,1.81899,0.0139271,0.0133443,2400000,1,1,0.046904
arithmetic_asian,90,0.2,antithetic,1.81888,0.00726677,0.00698638,4800000,3.67314,1.83657,0.0958493
arithmetic_asian,90,0.2,control_variate,1.81971,0.000566673,0.000578142,3672000,604.026,394.788,0.0526903
arithmetic_asian,90,0.2,combined,1.81967,0.000502411,0.000506786,7272000,768.425,253.606,0.104794
european,90,0.4,crude,12.2192,0.0819737,0.0842007,200000,1,1,0.00633448
european,90,0.4,antithetic,12.229,0.051689,0.0536334,400000,2.51508,1.25754,0.0134778
arithmetic_asian,90,0.4,crude,5.89207,0.0401112,0.0384738,2400000,1,1,0.0471959
arithmetic_asian,90,0.4,antithetic,5.89315,0.0199203,0.0191134,4800000,4.05453,2.02726,0.0944982
arithmetic_asian,90,0.4,control_variate,5.89404,0.00237447,0.00230193,3672000,285.363,186.512,0.0528445
arithmetic_asian,90,0.4,combined,5.89434,0.00203647,0.00195083,7272000,387.948,128.036,0.105604
european,100,0.2,crude,10.4349,0.0476848,0.04827,200000,1,1,0.00613148
european,100,0.2,antithetic,10.4419,0.0247794,0.0252547,400000,3.70322,1.85161,0.0101631
arithmetic_asian,100,0.2,crude,6.15306,0.029803,0.0287132,2400000,1,1,0.0470787
arithmetic_asian,100,0.2,antithetic,6.15612,0.0111733,0.0106985,4800000,7.11472,3.55736,0.0945482
arithmetic_asian,100,0.2,control_variate,6.15622,0.000730503,0.000700528,3672000,1664.47,1087.89,0.0593411
arithmetic_asian,100,0.2,combined,6.15616,0.000583301,0.000568795,7272000,2610.56,861.572,0.105015
european,100,0.4,crude,17.9874,0.100767,0.102803,200000,1,1,0.00608355
european,100,0.4,antithetic,18.0013,0.0597828,0.0612093,400000,2.8411,1.42055,0.00998345
arithmetic_asian,100,0.4,crude,10.7959,0.0577767,0.0556722,2400000,1,1,0.0474127
arithmetic_asian,100,0.4,antithetic,10.8006,0.0250487,0.0240365,4800000,5.32031,2.66016,0.0949858
arithmetic_asian,100,0.4,control_variate,10.8017,0.00260501,0.00253373,3672000,491.913,321.512,0.0530737
arithmetic_asian,100,0.4,combined,10.8015,0.00249546,0.00248431,7272000,536.048,176.914,0.105035
european,110,0.2,crude,17.6419,0.0609155,0.0619972,200000,1,1,0.00597028
european,110,0.2,antithetic,17.6527,0.0238154,0.0249829,400000,6.54244,3.27122,0.0101455
arithmetic_asian,110,0.2,crude,13.411,0.0454597,0.0441107,2400000,1,1,0.0467047
arithmetic_asian,110,0.2,antithetic,13.4168,0.00773408,0.00752842,4800000,34.5491,17.2746,0.0942368
arithmetic_asian,110,0.2,control_variate,13.4181,0.000883479,0.000849551,3672000,2647.66,1730.49,0.0522472
arithmetic_asian,110,0.2,combined,13.4179,0.000665373,0.000665034,7272000,4667.92,1540.57,0.104572
european,110,0.4,crude,24.701,0.118831,0.120702,200000,1,1,0.00611162
european,110,0.4,antithetic,24.7168,0.0652454,0.0671076,400000,3.31709,1.65855,0.00991539
arithmetic_asian,110,0.4,crude,17.2338,0.0764994,0.0739297,2400000,1,1,0.0469024
arithmetic_asian,110,0.4,antithetic,17.2419,0.0256037,0.0245894,4800000,8.92712,4.46356,0.0941877
arithmetic_asian,110,0.4,control_variate,17.2429,0.00363865,0.00360697,3672000,442.014,288.898,0.0524763
arithmetic_asian,110,0.4,combined,17.2427,0.00291522,0.00299592,7272000,688.609,227.264,0.104617
