study,scheme,parameter,value,price,error,runtime_s
space_sweep,crank_nicolson,asset_nodes,101,10.41076671199875,0.03981686018680719,0.245569167
space_sweep,crank_nicolson,asset_nodes,201,10.440685263089048,0.0098983090965099052,0.55386379100000005
space_sweep,crank_nicolson,asset_nodes,401,10.448112408423309,0.0024711637622480964,1.0137034170000001
space_sweep,crank_nicolson,asset_nodes,801,10.449965993379474,0.00061757880608404037,2.053297916
space_sweep,implicit,asset_nodes,101,10.410758393420332,0.039825178765225289,0.24523583400000001
space_sweep,implicit,asset_nodes,201,10.440677036603875,0.0099065355816829737,0.46638125000000002
space_sweep,implicit,asset_nodes,401,10.448104204209065,0.0024793679764929522,0.90759020899999998
space_sweep,implicit,asset_nodes,801,10.449957794668208,0.00062577751734949061,1.7981410840000001
time_sweep,implicit,time_steps,10,10.343741319935603,0.10431858160227847,8.2832999999999998e-05
time_sweep,implicit,time_steps,20,10.395761334332869,0.052298567205012247,0.00015224999999999999
time_sweep,implicit,time_steps,40,10.421897274524714,0.02616262701316785,0.00029420899999999997
time_sweep,implicit,time_steps,80,10.434995169297942,0.013064732239939758,0.00059516699999999996
time_sweep,implicit,time_steps,160,10.441551399399584,0.0065085021382973451,0.001133708
time_sweep,crank_nicolson,time_steps,10,10.329955523034545,0.11815688600615282,7.6207999999999999e-05
time_sweep,crank_nicolson,time_steps,20,10.435293825853158,0.012818583187540256,0.00014912500000000001
time_sweep,crank_nicolson,time_steps,40,10.448251553072733,0.00013914403203507675,0.00028691699999999998
time_sweep,crank_nicolson,time_steps,80,10.448151254776022,3.8845735323533859e-05,0.00056700000000000001
time_sweep,crank_nicolson,time_steps,160,10.448122120385278,9.7113445800545151e-06,0.001129042
time_sweep,crank_nicolson_rannacher2,time_steps,10,10.430513748624083,0.017598655166057853,8.5582999999999997e-05
time_sweep,crank_nicolson_rannacher2,time_steps,20,10.443622966843208,0.0044894369469332673,0.00014604099999999999
time_sweep,crank_nicolson_rannacher2,time_steps,40,10.446976430440717,0.0011359733494238355,0.00028624999999999999
time_sweep,crank_nicolson_rannacher2,time_steps,80,10.447825875488787,0.00028652830135378338,0.00056670799999999997
time_sweep,crank_nicolson_rannacher2,time_steps,160,10.448040434442513,7.1969347628098035e-05,0.001142583
s_max_sweep,crank_nicolson_rannacher2,s_max_multiple,1.5,10.449870230077806,0.00071334210775120255,0.010767333
s_max_sweep,crank_nicolson_rannacher2,s_max_multiple,2,10.449965530979773,0.00061804120578479171,0.014264584
s_max_sweep,crank_nicolson_rannacher2,s_max_multiple,3,10.449965530932694,0.00061804125286357703,0.021154959000000001
s_max_sweep,crank_nicolson_rannacher2,s_max_multiple,4,10.449965530932694,0.00061804125286357703,0.028002666999999998
s_max_sweep,crank_nicolson_rannacher2,s_max_multiple,6,10.449965530932694,0.00061804125286357703,0.042007041000000002
s_max_sweep,crank_nicolson_rannacher2,s_max_multiple,8,10.449965530932694,0.00061804125286357703,0.056123874999999997
strike_alignment,crank_nicolson_rannacher2,offset,0,10.448111945692755,0.0024716264928024145,0.014145540999999999
strike_alignment,crank_nicolson_rannacher2,offset,0.10000000000000001,10.449795936442785,0.000787635742772963,0.015017707999999999
