spot,maturity,volatility,greek,method,bump,reference,estimate,bias,across_seed_se,rmse,bias_over_se,runtime_s
70,0.1,0.1,delta,finite_difference,3.5,5.92246e-29,0,-5.92246e-29,0,5.92246e-29,0,0.00556047
70,0.1,0.1,delta,finite_difference,1.4,5.92246e-29,0,-5.92246e-29,0,5.92246e-29,0,0.00553439
70,0.1,0.1,delta,finite_difference,0.7,5.92246e-29,0,-5.92246e-29,0,5.92246e-29,0,0.0055568
70,0.1,0.1,delta,finite_difference,0.35,5.92246e-29,0,-5.92246e-29,0,5.92246e-29,0,0.0055702
70,0.1,0.1,delta,pathwise,-,5.92246e-29,0,-5.92246e-29,0,5.92246e-29,0,0.00551766
70,0.1,0.1,delta,likelihood_ratio,-,5.92246e-29,0,-5.92246e-29,0,5.92246e-29,0,0.00537882
70,0.1,0.1,gamma,finite_difference,3.5,2.99489e-28,0,-2.99489e-28,0,2.99489e-28,0,0.00565525
70,0.1,0.1,gamma,finite_difference,1.4,2.99489e-28,0,-2.99489e-28,0,2.99489e-28,0,0.00566323
70,0.1,0.1,gamma,finite_difference,0.7,2.99489e-28,0,-2.99489e-28,0,2.99489e-28,0,0.00567581
70,0.1,0.1,gamma,finite_difference,0.35,2.99489e-28,0,-2.99489e-28,0,2.99489e-28,0,0.00577566
70,0.1,0.1,vega,finite_difference,0.02,1.46749e-26,0,-1.46749e-26,0,1.46749e-26,0,0.00590183
70,0.1,0.1,vega,finite_difference,0.01,1.46749e-26,0,-1.46749e-26,0,1.46749e-26,0,0.00686612
70,0.1,0.1,vega,finite_difference,0.005,1.46749e-26,0,-1.46749e-26,0,1.46749e-26,0,0.00599246
70,0.1,0.1,vega,pathwise,-,1.46749e-26,0,-1.46749e-26,0,1.46749e-26,0,0.0054137
70,0.1,0.5,delta,finite_difference,3.5,0.0159712,0.0173504,0.0013792,8.6121e-05,0.00141896,16.0146,0.00567476
70,0.1,0.5,delta,finite_difference,1.4,0.0159712,0.0162381,0.00026695,8.48862e-05,0.000423494,3.14479,0.00564987
