family,regime,method,value,reference,difference,sigmas,agrees
bs_european,sigma=0.2 T=0.5,analytic,6.88873,6.88873,0,0,yes
bs_european,sigma=0.2 T=0.5,monte_carlo_crude,6.8971,6.88873,0.00837592,0.541404,yes
bs_european,sigma=0.2 T=0.5,monte_carlo_antithetic,6.89205,6.88873,0.00332441,0.427644,yes
bs_european,sigma=0.2 T=0.5,finite_difference,6.88522,6.88873,-0.00351236,0.000509871,yes
bs_european,sigma=0.2 T=2,analytic,16.1268,16.1268,0,0,yes
bs_european,sigma=0.2 T=2,monte_carlo_crude,16.1449,16.1268,0.0180891,0.507895,yes
bs_european,sigma=0.2 T=2,monte_carlo_antithetic,16.1328,16.1268,0.00600717,0.339452,yes
bs_european,sigma=0.2 T=2,finite_difference,16.1251,16.1268,-0.00172623,0.000107041,yes
bs_european,sigma=0.4 T=0.5,analytic,12.385,12.385,0,0,yes
bs_european,sigma=0.4 T=0.5,monte_carlo_crude,12.4,12.385,0.014954,0.464823,yes
bs_european,sigma=0.4 T=0.5,monte_carlo_antithetic,12.3915,12.385,0.00644416,0.357241,yes
bs_european,sigma=0.4 T=0.5,finite_difference,12.3833,12.385,-0.00169379,0.000136761,yes
bs_european,sigma=0.4 T=2,analytic,26.2902,26.2902,0,0,yes
bs_european,sigma=0.4 T=2,monte_carlo_crude,26.3151,26.2902,0.0249021,0.317094,yes
bs_european,sigma=0.4 T=2,monte_carlo_antithetic,26.2981,26.2902,0.0078417,0.166554,yes
bs_european,sigma=0.4 T=2,finite_difference,26.2895,26.2902,-0.000749807,2.85204e-05,yes
heston_european,T=0.5 xi=0.3,characteristic_function,6.8372,6.8372,0,0,yes
heston_european,T=0.5 xi=0.3,monte_carlo_full_truncation,6.82863,6.8372,-0.00857419,0.465969,yes
heston_european,T=0.5 xi=1,characteristic_function,6.05199,6.05199,0,0,yes
heston_european,T=0.5 xi=1,monte_carlo_full_truncation,6.05401,6.05199,0.0020148,0.144749,yes
heston_european,T=2 xi=0.3,characteristic_function,16.1428,16.1428,0,0,yes
heston_european,T=2 xi=0.3,monte_carlo_full_truncation,16.1078,16.1428,-0.0349919,0.830494,yes
heston_european,T=2 xi=1,characteristic_function,15.1269,15.1269,0,0,yes
heston_european,T=2 xi=1,monte_carlo_full_truncation,15.1294,15.1269,0.00248861,0.0774759,yes
arithmetic_asian,sigma=0.2 T=0.5,monte_carlo_crude,4.08776,-,-,-,-
arithmetic_asian,sigma=0.2 T=0.5,monte_carlo_antithetic,4.10496,-,-,-,-
arithmetic_asian,sigma=0.2 T=0.5,monte_carlo_control_variate,4.10954,-,-,-,-
arithmetic_asian,sigma=0.2 T=2,monte_carlo_crude,9.27223,-,-,-,-
arithmetic_asian,sigma=0.2 T=2,monte_carlo_antithetic,9.31011,-,-,-,-
arithmetic_asian,sigma=0.2 T=2,monte_carlo_control_variate,9.3196,-,-,-,-
arithmetic_asian,sigma=0.4 T=0.5,monte_carlo_crude,7.43685,-,-,-,-
arithmetic_asian,sigma=0.4 T=0.5,monte_carlo_antithetic,7.47108,-,-,-,-
arithmetic_asian,sigma=0.4 T=0.5,monte_carlo_control_variate,7.48107,-,-,-,-
arithmetic_asian,sigma=0.4 T=2,monte_carlo_crude,15.4593,-,-,-,-
arithmetic_asian,sigma=0.4 T=2,monte_carlo_antithetic,15.535,-,-,-,-
arithmetic_asian,sigma=0.4 T=2,monte_carlo_control_variate,15.5566,-,-,-,-
