case,category,behavior,passed
maturity_to_zero_itm,limiting_behavior,priced,yes
maturity_to_zero_otm,limiting_behavior,priced,yes
maturity_exactly_zero_itm,limiting_behavior,priced,yes
volatility_to_zero_itm,limiting_behavior,priced,yes
volatility_exactly_zero_itm,limiting_behavior,priced,yes
deep_in_the_money,extreme_valid,priced,yes
deep_out_of_the_money,extreme_valid,priced,yes
extreme_maturity,extreme_valid,priced,yes
extreme_small_strike,extreme_valid,priced,yes
down_and_out_already_breached,already_breached,priced,yes
up_and_out_already_breached,already_breached,priced,yes
heston_correlation_plus_one,degenerate_refusal,refused,yes
heston_correlation_minus_one,degenerate_refusal,refused,yes
heston_near_zero_variance,degenerate_refusal,refused,yes
heston_extreme_maturity,extreme_valid,priced,yes
heston_tiny_maturity,extreme_valid,priced,yes
heston_small_variance,extreme_valid,priced,yes
negative_volatility,invalid_input_rejected,rejected,yes
negative_maturity,invalid_input_rejected,rejected,yes
correlation_out_of_range,invalid_input_rejected,rejected,yes
negative_strike,invalid_input_rejected,rejected,yes
